"","Montagnard","Travailler","Habiter","Altitude"
"1","Oui","0","Non",340
"3","Oui","1","Oui",1586
"5","Oui","2","Oui",1268
"8","Oui","0","Non",519
"9","Oui","0","Non",109
"14","Non","0","Non",85
"17","Oui","0","Non",129
"19","Non","0","Non",54
"21","Oui","1","Non",209
"22","Non","0","Non",209
"23","Non","0","Non",275
"24","Non","0","Non",349
"25","Oui","0","Oui",667
"27","Non","1","Non",688
"28","Oui","1","Non",688
"29","Oui","1","Non",572
"32","Oui","0","Non",499
"34","Oui","2","Oui",1071
"41","Oui","0","Non",29
"42","Non","0","Non",29
"43","Oui","0","Non",6
"45","Oui","0","Non",25
"46","Oui","0","Non",58
"47","Oui","0","Non",58
"48","Non","0","Non",58
"49","Oui","0","Non",35
"50","Oui","0","Non",35
"51","Oui","0","Non",41
"52","Non","0","Non",35
"53","Non","0","Non",62
"54","Oui","1","Non",62
"56","Oui","0","Non",62
"57","Oui","0","Non",62
"60","Oui","0","Non",206
"61","Oui","0","Non",206
"62","Oui","0","Non",206
"63","Non","0","Non",206
"64","Non","0","Non",206
"65","Oui","0","Non",206
"66","Oui","0","Non",100
"67","Oui","0","Non",100
"68","Non","0","Non",118
"69","Oui","0","Non",118
"70","Non","0","Non",118
"71","Oui","0","Non",118
"72","Oui","0","Non",648
"74","Oui","0","Non",648
"75","Non","0","Non",648
"76","Non","0","Non",104
"77","Oui","0","Non",236
"78","Oui","0","Non",236
"79","Non","1","Non",236
"80","Oui","1","Non",236
"81","Oui","0","Non",236
"82","Oui","0","Non",236
"83","Oui","0","Non",236
"84","Oui","0","Non",236
"85","Non","0","Non",236
"86","Oui","0","Non",236
"87","Oui","0","Non",236
"88","Non","0","Non",236
"89","Oui","0","Non",236
"91","Oui","0","Non",236
"92","Oui","0","Non",236
"93","Oui","0","Non",236
"94","Non","0","Non",236
"95","Oui","0","Non",236
"96","Non","0","Non",236
"97","Oui","0","Non",236
"98","Oui","1","Non",236
"99","Non","0","Non",236
"100","Oui","0","Non",236
"102","Non","0","Non",236
"104","Non","0","Non",236
"105","Oui","0","Non",236
"106","Oui","0","Non",236
"107","Non","0","Non",236
"108","Non","0","Non",236
"109","Non","0","Non",236
"110","Non","0","Non",236
"111","Oui","1","Non",236
"112","Non","0","Non",236
"113","Oui","0","Non",440
"114","Oui","0","Non",377
"115","Oui","0","Non",231
"116","Non","0","Non",395
"117","Non","1","Oui",395
"118","Oui","0","Non",395
"119","Non","0","Non",167
"120","Oui","0","Non",564
"121","Oui","0","Non",111
"122","Non","0","Non",111
"123","Oui","1","Non",56
"124","Non","0","Non",56
"125","Oui","0","Non",56
"127","Oui","0","Non",32
"130","Oui","0","Non",4
"131","Oui","0","Non",4
"132","Non","0","Non",4
"133","Non","0","Non",4
"137","Non","0","Non",5
"138","Oui","0","Non",236
"140","Oui","0","Non",98
"141","Oui","1","Non",98
"142","Oui","0","Non",32
"143","Oui","0","Non",219
"144","Oui","0","Non",219
"145","Non","0","Non",219
"146","Oui","0","Non",110
"147","Oui","0","Non",317
"148","Oui","0","Non",317
"149","Non","0","Non",386
"150","Oui","1","Non",386
"151","Oui","0","Non",194
"152","Non","0","Non",194
"154","Non","0","Non",194
"155","Non","0","Non",240
"156","Oui","0","Non",65
"158","Oui","0","Non",186
"159","Non","0","Non",48
"160","Non","0","Non",48
"161","Oui","0","Non",48
"162","Non","0","Non",48
"163","Non","0","Non",76
"164","Oui","1","Non",106
"165","Oui","1","Non",101
"166","Oui","0","Non",101
"168","Oui","0","Non",101
"169","Non","0","Non",257
"170","Oui","0","Non",41
"171","Oui","0","Non",301
"173","Non","0","Non",142
"174","Non","0","Non",114
"175","Oui","0","Non",114
"176","Oui","0","Non",114
"177","Oui","0","Non",114
"180","Oui","1","Non",159
"181","Oui","0","Non",159
"182","Oui","0","Non",256
"183","Oui","0","Non",256
"184","Non","2","Oui",34
"185","Oui","0","Non",34
"186","Oui","0","Non",34
"187","Non","0","Non",126
"188","Oui","0","Non",344
"189","Oui","0","Non",318
"191","Oui","0","Non",99
"192","Oui","0","Non",99
"193","Non","0","Non",85
"196","Oui","0","Non",159
"197","Oui","0","Non",25
"199","Oui","0","Non",16
"200","Oui","0","Non",156
"201","Non","0","Non",151
"204","Oui","1","Oui",668
"205","Oui","0","Non",668
"206","Oui","0","Oui",668
"207","Oui","2","Oui",883
"208","Oui","2","Oui",883
"209","Oui","0","Oui",681
"212","Oui","2","Oui",980
"213","Oui","2","Oui",980
"215","Oui","2","Oui",980
"216","Oui","0","Oui",980
"217","Oui","0","Oui",845
"218","Oui","2","Oui",910
"219","Oui","2","Oui",1157
"220","Oui","2","Oui",890
"221","Oui","2","Oui",899
"222","Oui","2","Oui",899
"223","Non","0","Non",61
"224","Oui","0","Non",22
"225","Oui","0","Non",22
"227","Oui","0","Non",25
"228","Non","0","Non",9
"229","Non","0","Non",9
"230","Oui","0","Non",9
"231","Oui","0","Non",23
"232","Non","0","Non",23
"233","Oui","0","Non",23
"234","Oui","0","Non",5
"235","Oui","0","Non",5
"236","Oui","0","Non",41
"237","Oui","0","Non",51
"238","Oui","0","Non",51
"239","Oui","0","Non",18
"241","Non","0","Non",140
"242","Oui","0","Non",140
"243","Non","0","Non",140
"244","Oui","0","Non",140
"245","Oui","0","Non",140
